,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(32.5k Reviews),Public,"Mumbai,Maharashtra + 217 more",54 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(22.5k Reviews),Public,"Dublin,Dublin + 125 more",33 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(20.8k Reviews),Private,"Teaneck,New Jersey + 78 more",28 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(27.7k Reviews),Public,"Mumbai,Maharashtra + 925 more",28 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1007 more",28 years old,1 Lakh+ employees (India)
5,Wipro,3.9,(19.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 233 more",77 years old,1 Lakh+ employees (India)
6,Capgemini,3.8,(16.5k Reviews),Public,Paris + 63 more,55 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(16.2k Reviews),Public,"Noida,Uttar Pradesh + 144 more",46 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(19.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 109 more",41 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.7,(15.8k Reviews),Public,"Pune,Maharashtra + 163 more",36 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(15.2k Reviews),Private,"New York,New York + 51 more",25 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(14.7k Reviews),Public,"Mumbai,Maharashtra + 912 more",29 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.7k Reviews),Public,"Gandhinagar,Gujrat + 518 more",4 years old,10k-50k employees (India)
13,Reliance jio,4.0,(11.8k Reviews),Public,"Navi Mumbai,Maharashtra + 823 more",15 years old,10k-50k employees (India)
14,L&T,4.0,(23.3k Reviews),Public,"Mumbai,Maharashtra + 446 more",84 years old,10k-50k employees (India)
15,IBM,4.1,(11.7k Reviews),Public,New York + 101 more,111 years old,50k-1 Lakh employees (India)
16,Concentrix Corpora...,4.1,(11.1k Reviews),Public,"Fremont,California + 56 more",39 years old,10k-50k employees (India)
17,Amazon,4.2,(10.7k Reviews),Private,"Seattle,Washington + 296 more",28 years old,10k-50k employees (India)
18,HDB Financial Serv...,4.0,(10.1k Reviews),Private,"Ahmedabad,Gujrat + 644 more",15 years old,1 Lakh+ employees (India)
19,Kotak Mahindra Ban...,3.9,(10.6k Reviews),Public,"Mumbai,Maharashtra + 426 more",19 years old,10k-50k employees (India)
20,Teleperformance,3.6,(7.7k Reviews),Private,Paris + 95 more,44 years old,50k-1 Lakh employees (India)
21,Tata Motors,4.1,(7.5k Reviews),Public,"Pune,Maharashtra + 350 more",77 years old,50k-1 Lakh employees (India)
22,Bharti Airtel,4.1,(10.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 427 more",27 years old,5k-10k employees (India)
23,Reliance Industrie...,4.0,(30.5k Reviews),Public,"Navi Mumbai,Maharashtra + 357 more",49 years old,1 Lakh+ employees (India)
24,Deloitte,4.0,(6.4k Reviews),Private,"New York,New York + 114 more",177 years old,10k-50k employees (India)
25,Mahindra & Mahindr...,4.1,(16.3k Reviews),Public,"Mumbai,Maharashtra + 352 more",77 years old,10k-50k employees (India)
26,IndusInd Bank,3.8,(5.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 481 more",28 years old,10k-50k employees (India)
27,Reliance Retail,4.1,(9.7k Reviews),Private,"Navi Mumbai,Maharashtra + 393 more",16 years old,1 Lakh+ employees (India)
28,Hinduja Global Sol...,3.9,(5.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 69 more",22 years old,10k-50k employees (India)
29,WNS,3.7,(5k Reviews),Private,"Mumbai,Maharashtra + 19 more",26 years old,10k-50k employees (India)
30,Samsung,4.0,(6.8k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 390 more",84 years old,50k-1 Lakh employees (India)
31,Maruti Suzuki,4.1,(4.8k Reviews),Public,"New Delhi,Delhi + 343 more",39 years old,10k-50k employees (India)
32,DXC Technology,3.7,(5.1k Reviews),Public,Virginia + 49 more,31 years old,10k-50k employees (India)
33,Infosys BPM,4.0,(4.3k Reviews),"Bangalore/Bengaluru,Karnataka + 36 more",20 years old,10k-50k employees (India),
34,Ericsson,4.2,(4.2k Reviews),Private,"Kista,Stockholm + 121 more",146 years old,10k-50k employees (India)
35,Ernst & Young,3.7,(4.1k Reviews),Private,London + 59 more,20 years old,50k-1 Lakh employees (India)
36,Bajaj Finserv,4.1,(10.6k Reviews),Public,Pune + 555 more,15 years old,10k-50k employees (India)
37,HSBC,4.1,(4.3k Reviews),Private,"Pune,Maharashtra + 49 more",20 years old,10k-50k employees (India)
38,Startek,3.5,(3.9k Reviews),"Mumbai,Maharashtra + 46 more",5 years old,1k-5k employees (India),
39,Conneqt Business S...,3.8,(3.9k Reviews),"Mumbai,Maharashtra + 132 more",20 years old,10k-50k employees (India),
40,Jana Small Finance...,3.9,(3.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 279 more",16 years old,10k-50k employees (India)
41,Dr. Reddy's,4.2,(3.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 118 more",36 years old,10k-50k employees (India)
42,Cipla Pharmaceutic...,4.0,(3.8k Reviews),Public,"Mumbai,Maharashtra + 173 more",87 years old,10k-50k employees (India)
43,Sutherland Global ...,3.8,(4.1k Reviews),Private,"Pittsford,New York + 38 more",36 years old,10k-50k employees (India)
44,ICICI Prudential L...,4.1,(3.7k Reviews),Public,"Mumbai,Maharashtra + 372 more",22 years old,10k-50k employees (India)
45,Indian Army,4.7,(3.6k Reviews),"New Delhi,Delhi + 248 more",127 years old,1 Lakh+ employees (India),
46,Mphasis,3.8,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",22 years old,1k-5k employees (India)
47,IDFC FIRST Bank,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 280 more",4 years old,10k-50k employees (India)
48,Bajaj Allianz Life...,4.1,(3.5k Reviews),Private,Pune + 388 more,21 years old,10k-50k employees (India)
49,Home Credit Financ...,4.3,(3.5k Reviews),Private,Gurugram + 94 more,10 years old,10k-50k employees (India)
50,Yes Bank,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 307 more",18 years old,10k-50k employees (India)
51,Lupin,4.2,(3.5k Reviews),Public,"Mumbai,Maharashtra + 118 more",54 years old,10k-50k employees (India)
52,Asian Paints,4.3,(3.8k Reviews),Public,"Mumbai,Maharashtra + 283 more",80 years old,5k-10k employees (India)
53,HDFC LIFE,4.1,(3.3k Reviews),"Mumbai,Maharashtra + 360 more",22 years old,10k-50k employees (India),
54,ITC,3.9,(6k Reviews),Public,"Kolkata,West Bengal + 200 more",47 years old,10k-50k employees (India)
55,Intelenet Global S...,3.7,(3.2k Reviews),Private,"Mumbai,Maharashtra + 55 more",22 years old,10k-50k employees (India)
56,NTT DATA,3.9,(6.4k Reviews),Private,"Chiyoda City,Tokyo + 31 more",34 years old,10k-50k employees (India)
57,Hewlett-Packard En...,4.3,(4.3k Reviews),Private,"Palo Alto,California + 77 more",83 years old,10k-50k employees (India)
58,Zydus Cadila,4.1,(3.9k Reviews),Public,"Ahmedabad, India + 124 more",70 years old,10k-50k employees (India)
59,OPPO,4.0,(3.1k Reviews),Public,"Dongguan,Guangdong + 288 more",18 years old,10k-50k employees (India)
60,Bajaj Finance,4.2,(3k Reviews),Private,"Pune,Maharashtra + 534 more",35 years old,1k-5k employees (India)
61,EXL Service,3.8,(3.9k Reviews),Private,"New York,New York + 28 more",23 years old,10k-50k employees (India)
62,Reliance Communica...,4.0,(3.4k Reviews),Public,"Navi Mumbai,Maharashtra + 351 more",20 years old,10k-50k employees (India)
63,Hindustan Unilever...,4.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 301 more",89 years old,10k-50k employees (India)
64,Ujjivan Small Fina...,4.1,(2.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 337 more",5 years old,10k-50k employees (India)
65,Udaan,4.2,(2.9k Reviews),Private,Bangalore + 266 more,6 years old,1k-5k employees (India)
66,Ashok Leyland,4.1,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 170 more",74 years old,10k-50k employees (India)
67,Future Group,4.1,(8.9k Reviews),Private,"Mumbai,Maharashtra + 184 more",9 years old,50k-1 Lakh employees (India)
68,Shapoorji Pallonji,4.3,(4.3k Reviews),Private,"Mumbai,Maharashtra + 122 more",157 years old,1k-5k employees (India)
69,UltraTech Cement,4.2,(3.1k Reviews),Public,"Mumbai,Maharashtra + 272 more",39 years old,10k-50k employees (India)
70,Mahindra & Mahindr...,4.3,(2.8k Reviews),Public,"Mumbai,Maharashtra + 493 more",31 years old,10k-50k employees (India)
71,Apollo Hospitals,4.0,(4.3k Reviews),Public,"Chennai,Tamil Nadu + 149 more",39 years old,50k-1 Lakh employees (India)
72,BYJU'S,3.6,(6.3k Reviews),Private,Bangalore + 116 more,11 years old,1k-5k employees (India)
73,Shriram Transport ...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 561 more",43 years old,10k-50k employees (India)
74,Paytm,3.7,(3.4k Reviews),Private,Noida + 200 more,12 years old,10k-50k employees (India)
75,Sun Pharmaceutical...,4.0,(3.2k Reviews),Public,Mumbai + 128 more,39 years old,10k-50k employees (India)
76,IIFL,3.8,(2.8k Reviews),Public,"Mumbai,Maharashtra + 379 more",27 years old,5k-10k employees (India)
77,Larsen & Toubro In...,3.9,(2.8k Reviews),Public,"Mumbai,Maharashtra + 73 more",26 years old,10k-50k employees (India)
78,Vivo,4.1,(2.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 289 more",13 years old,5k-10k employees (India)
79,Aurobindo Pharma,4.1,(2.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 42 more",36 years old,1k-5k employees (India)
80,Wipro BPS,3.8,(2.7k Reviews),Bengaluru + 33 more,22 years old,1 Lakh+ employees (India),
81,Nokia,4.3,(2.8k Reviews),Private,"Espoo,Southern Finland + 160 more",157 years old,10k-50k employees (India)
82,PwC,3.6,(2.7k Reviews),Partnership,London + 57 more,24 years old,5k-10k employees (India)
83,Oyo Rooms,3.5,(2.7k Reviews),Private,Gurgaon + 98 more,9 years old,1k-5k employees (India)
84,Siemens,4.1,(2.6k Reviews),Public,Munich + 90 more,30 years old,1k-5k employees (India)
85,TVS Motor,4.1,(2.7k Reviews),Public,"Chennai,Tamil Nadu + 214 more",43 years old,5k-10k employees (India)
86,KPMG,3.7,(2.5k Reviews),Partnership,"Amstelveen,North Holland + 48 more",35 years old,10k-50k employees (India)
87,eClerx,3.6,(2.4k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k employees (India)
88,JP Morgan Chase,4.1,(2.4k Reviews),Private,"New York,New York + 16 more",22 years old,10k-50k employees (India)
89,Max Life Insurance,4.2,(2.4k Reviews),"Gurgaon/Gurugram,Haryana + 233 more",22 years old,10k-50k employees (India),
90,Hero MotoCorp,4.2,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 234 more",38 years old,5k-10k employees (India)
91,Cyient,3.7,(2.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 25 more",31 years old,10k-50k employees (India)
92,Mindtree,4.0,(2.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 20 more",23 years old,10k-50k employees (India)
93,Hyundai Motor,4.1,(3.1k Reviews),Private,Seoul + 200 more,55 years old,5k-10k employees (India)
94,Bandhan Bank,3.9,(2.5k Reviews),Public,"Kolkata,West Bengal + 417 more",21 years old,10k-50k employees (India)
95,Atos Syntel,3.7,(3.8k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k employees (India)
96,Oracle,3.8,(2.9k Reviews),Public,"Redwood City,California + 26 more",45 years old,10k-50k employees (India)
97,JLL,4.2,(2.3k Reviews),Private,"Mumbai,Maharashtra + 53 more",25 years old,10k-50k employees (India)
98,JustDial,3.6,(2.3k Reviews),Public,"Mumbai,Maharashtra + 110 more",26 years old,10k-50k employees (India)
99,Bosch,4.2,(2.5k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 74 more",136 years old,10k-50k employees (India)
100,Fidelity National ...,4.0,(2.4k Reviews),Private,"Jacksonville,Florida + 27 more",17 years old,10k-50k employees (India)
101,Tata Projects,4.2,(2.2k Reviews),Public,"Mumbai,Maharashtra + 165 more",43 years old,1k-5k employees (India)
102,Wipro Consumer Ca...,3.8,(2.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 63 more",77 years old,1k-5k employees (India)
103,Axis Direct,4.0,(2.2k Reviews),Private,"Mumbai,Maharashtra + 261 more",11 years old,1k-5k employees (India)
104,First Source,3.9,(2.2k Reviews),Public,"Mumbai,Maharashtra + 41 more",21 years old,5k-10k employees (India)
105,JSW Steel,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 78 more",40 years old,10k-50k employees (India)
106,Godrej & Boyce Man...,3.9,(2.2k Reviews),Private,"Mumbai,Maharashtra + 114 more",125 years old,10k-50k employees (India)
107,AU Small Finance B...,3.9,(2.9k Reviews),Private,"Jaipur,Rajasthan + 242 more",26 years old,10k-50k employees (India)
108,Dominos Pizza,4.2,(2.1k Reviews),Public,"Ypsilanti,Michigan + 180 more",62 years old,1k-5k employees (India)
109,Delhivery,4.2,(2.1k Reviews),Private,Delhi + 356 more,11 years old,10k-50k employees (India)
110,TATA Steel,4.0,(3.3k Reviews),Public,"Mumbai,Maharashtra + 103 more",115 years old,10k-50k employees (India)
111,Aditya Birla Fashi...,4.2,(2.4k Reviews),Private,Mumbai + 177 more,7 years old,10k-50k employees (India)
112,Dell,4.1,(3k Reviews),Private,"Round Rock,Texas + 76 more",38 years old,50k-1 Lakh employees (India)
113,Wells Fargo India,4.1,(2.1k Reviews),Private,"San Francisco,California + 10 more",24 years old,10k-50k employees (India)
114,UnitedHealth,4.1,(3.3k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k employees (India)
115,Viatris,4.2,(2.1k Reviews),"Canonsburg,Pennsylvania + 54 more",61 years old,1k-5k employees (India),
116,Hexaware Technolog...,3.6,(2.1k Reviews),Public,"Mumbai,Maharashtra + 25 more",32 years old,10k-50k employees (India)
117,iEnergizer,3.5,(2k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,10k-50k employees (Global)
118,Fullerton India,4.2,(2k Reviews),Private,Mumbai + 348 more,15 years old,10k-50k employees (India)
119,Manappuram Finance,4.0,(2.6k Reviews),Public,"Thrissur/Trichur,Kerala + 317 more",73 years old,10k-50k employees (India)
120,Omega Healthcare,3.7,(2k Reviews),Private,Florida + 21 more,18 years old,1k-5k employees (India)
121,SBI Cards & Paymen...,3.9,(2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 200 more",24 years old,1k-5k employees (India)
122,Megha Engineering ...,4.2,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 147 more",33 years old,5k-10k employees (India)
123,Royal Enfield,4.2,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 201 more",67 years old,1k-5k employees (India)
124,State Bank of Indi...,4.0,(1.9k Reviews),"Mumbai,Maharashtra + 277 more",216 years old,1 Lakh+ employees (India),
125,Nagarjuna Construc...,4.1,(2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 155 more",24 years old,201-500 employees (India)
126,BNY Mellon,4.1,(1.9k Reviews),Private,"New York City,New York + 7 more",18 years old,10k-50k employees (India)
127,JBM Group,4.0,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 66 more",39 years old,1k-5k employees (India)
128,Motherson Sumi Sys...,3.9,(3k Reviews),Public,"Noida,Uttar Pradesh + 57 more",36 years old,1k-5k employees (India)
129,Muthoot Group,3.6,(3.7k Reviews),Public,"Kochi/Cochin,Kerala + 305 more",135 years old,1k-5k employees (India)
130,Muthoot Fincorp,3.9,(1.9k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 354 more",135 years old,10k-50k employees (India)
131,Simplex Infrastruc...,3.7,(2k Reviews),Public,"Kolkata,West Bengal + 112 more",98 years old,1k-5k employees (India)
132,Wipro Enterprises ...,3.8,(1.9k Reviews),Bangalore + 61 more,77 years old,1 Lakh+ employees (India),
133,Sodexo,4.1,(2k Reviews),Private,Issy Les Moulineaux + 97 more,14 years old,5k-10k employees (India)
134,Cgi Group,4.1,(1.9k Reviews),Private,"Montreal,Quebec + 9 more",31 years old,10k-50k employees (India)
135,Tata Communication...,4.1,(2.4k Reviews),Public,"Mumbai,Maharashtra + 84 more",36 years old,10k-50k employees (India)
136,LG Electronics,4.0,(1.9k Reviews),Public,"Seoul,Seoul + 168 more",64 years old,5k-10k employees (India)
137,Flex,4.1,(1.8k Reviews),Private,San Jose + 30 more,53 years old,10k-50k employees (India)
138,Quess,3.9,(6.1k Reviews),Public,Bangalore + 242 more,15 years old,1k-5k employees (India)
139,Arvind Group,4.1,(2k Reviews),Public,"Ahmedabad,Gujrat + 125 more",91 years old,10k-50k employees (India)
140,Equitas Small Fina...,4.1,(1.8k Reviews),Private,"Chennai,Tamil Nadu + 254 more",15 years old,1k-5k employees (India)
141,Hindustan Coca Col...,4.4,(1.8k Reviews),Private,Bangalore + 152 more,25 years old,1k-5k employees (India)
142,Bajaj Auto,4.1,(4.8k Reviews),Public,"Pune,Maharashtra + 173 more",77 years old,201-500 employees (India)
143,Hetero Drugs,4.0,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",29 years old,1k-5k employees (India)
144,John Deere,4.3,(2k Reviews),Private,"Moline,Illinois + 82 more",21 years old,1k-5k employees (India)
145,Ford Motor,4.5,(2k Reviews),Public,"Dearborn,Michigan + 95 more",119 years old,5k-10k employees (India)
146,Abbott Healthcare,4.1,(3k Reviews),Public,"Illinois City,Illinois + 130 more",31 years old,10k-50k employees (India)
147,L & T Finance,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 333 more",28 years old,10k-50k employees (India)
148,Subros,4.0,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k employees (India)
149,Gati kwe,4.1,(1.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 137 more",10 years old,1k-5k employees (India)
150,D Mart,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 122 more",22 years old,5k-10k employees (India)
151,IQVIA,4.2,(1.8k Reviews),Partnership,"Danbury,Connecticut + 32 more",40 years old,10k-50k employees (India)
152,ICICI Lombard Gene...,3.9,(1.8k Reviews),Public,"Mumbai,Maharashtra + 167 more",21 years old,5k-10k employees (India)
153,CBRE,4.2,(1.7k Reviews),Private,"Los Angeles,California + 43 more",116 years old,5k-10k employees (India)
154,Shoppers Stop,4.2,(1.8k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k employees (India)
155,Indian Air Force,4.6,(1.7k Reviews),Private,"New Delhi,Delhi + 92 more",90 years old,1 Lakh+ employees (India)
156,Alembic Pharmaceut...,4.1,(1.7k Reviews),Public,"Vadodara/Baroda,Gujrat + 104 more",115 years old,5k-10k employees (India)
157,McDonald's,4.2,(1.7k Reviews),Private,"Chicago,Illinois + 106 more",67 years old,5k-10k employees (India)
158,SBI Life Insurance...,3.8,(1.7k Reviews),Public,"Mumbai,Maharashtra + 355 more",21 years old,10k-50k employees (India)
159,L&T Construction,4.0,(1.7k Reviews),Public,Chennai + 207 more,78 years old,50k-1 Lakh employees (India)
160,Ecom Express,4.2,(1.7k Reviews),Private,Gurgaon + 387 more,10 years old,10k-50k employees (India)
161,Cholamandalam Inve...,4.2,(1.7k Reviews),Private,"Chennai,Tamil Nadu + 403 more",44 years old,1k-5k employees (India)
162,Lava International,4.0,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 192 more",13 years old,1k-5k employees (India)
163,Suzlon Group,4.1,(1.7k Reviews),Public,"Pune,Maharashtra + 71 more",27 years old,5k-10k employees (India)
164,NatWest Group,4.0,(1.7k Reviews),Chennai + 16 more,10k-50k employees (India),,
165,Tata Teleservices,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 152 more",26 years old,201-500 employees (India)
166,Cummins,4.3,(1.7k Reviews),"Columbus,Indiana + 71 more",60 years old,5k-10k employees (India),
167,Amdocs,3.9,(1.6k Reviews),Private,"Chesterfield,Missouri + 10 more",40 years old,5k-10k employees (India)
168,Thermax,4.3,(1.8k Reviews),Public,"Pune,Maharashtra + 96 more",42 years old,1k-5k employees (India)
169,Whitehat jr,4.0,(1.6k Reviews),"Mumbai,Maharashtra + 40 more",4 years old,5k-10k employees (India),
170,KEC International,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 164 more",77 years old,5k-10k employees (India)
171,UST,4.0,(1.7k Reviews),Private,"Aliso Viejo,California + 28 more",21 years old,10k-50k employees (India)
172,CMS IT Services,3.1,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 108 more",8 years old,5k-10k employees (India)
173,DTDC Express,4.0,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 168 more",32 years old,1k-5k employees (India)
174,Schneider Electric,4.2,(2.9k Reviews),Private,Paris + 60 more,23 years old,10k-50k employees (India)
175,VE Commercial Vehi...,4.1,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 95 more",14 years old,1k-5k employees (India)
176,Robert Bosch Engin...,4.1,(1.6k Reviews),Private,Gerlingen + 15 more,32 years old,10k-50k employees (India)
177,Indiamart Intermes...,3.7,(1.6k Reviews),Private,"Noida,Uttar Pradesh + 82 more",26 years old,10k-50k employees (India)
178,Intas Pharmaceutic...,4.2,(1.6k Reviews),Private,"Ahmedabad,Gujrat + 89 more",22 years old,5k-10k employees (India)
179,Bel,4.3,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 27 more",68 years old,5k-10k employees (India)
180,Varun Beverages,4.0,(1.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 160 more",27 years old,5k-10k employees (India)
181,Honda Motorcycle &...,4.1,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 138 more",23 years old,5k-10k employees (India)
182,Glenmark Pharmaceu...,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 96 more",45 years old,5k-10k employees (India)
183,ABB Group,4.1,(1.6k Reviews),Public,Zurich + 81 more,21 years old,5k-10k employees (India)
184,Ipca Laboratories,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 87 more",73 years old,5k-10k employees (India)
185,Reliance Nippon Li...,3.9,(1.5k Reviews),Private,"Mumbai,Maharashtra + 351 more",22 years old,10k-50k employees (India)
186,Macleods Pharmaceu...,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 65 more",36 years old,5k-10k employees (India)
187,Atos,3.8,(5.4k Reviews),Private,Bezons + 28 more,25 years old,10k-50k employees (India)
188,Indian Oil Corpora...,4.3,(1.7k Reviews),Private,"Delhi/NCR,Delhi + 148 more",63 years old,10k-50k employees (India)
189,Alkem Laboratories,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 104 more",49 years old,10k-50k employees (India)
190,State Street Synte...,3.8,(1.5k Reviews),Private,Mumbai + 11 more,18 years old,501-1k employees (India)
191,Titan Company,4.4,(1.5k Reviews),Public,Mumbai + 107 more,4 years old,5k-10k employees (India)
192,Standard Chartered...,4.1,(3.5k Reviews),Private,London + 55 more,53 years old,5k-10k employees (India)
193,BigBasket,4.1,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 57 more",11 years old,1k-5k employees (India)
194,Bajaj Electricals,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 149 more",84 years old,1k-5k employees (India)
195,Future Retail,4.1,(3.9k Reviews),Public,"Mumbai,Maharashtra + 170 more",35 years old,10k-50k employees (India)
196,DCB Bank,3.9,(1.5k Reviews),Private,"Mumbai,Maharashtra + 199 more",92 years old,5k-10k employees (India)
197,American Express,4.3,(1.6k Reviews),Private,"New York,New York + 33 more",172 years old,10k-50k employees (India)
198,Havells,4.2,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 101 more",39 years old,5k-10k employees (India)
199,Radisson Hotels,3.9,(1.5k Reviews),Private,"Minnetonka,Minnesota + 86 more",113 years old,10k-50k employees (India)
200,GlobalLogic,3.9,(1.5k Reviews),Private,"San Jose,California + 20 more",22 years old,5k-10k employees (India)
201,TAFE - Tractors an...,4.2,(1.5k Reviews),Public,"Chennai,Tamil Nadu + 119 more",62 years old,1k-5k employees (India)
202,Huawei Technologie...,3.7,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 81 more",20 years old,501-1k employees (India)
203,Torrent Pharmaceut...,4.1,(1.5k Reviews),Public,"Ahmedabad,Gujrat + 81 more",51 years old,5k-10k employees (India)
204,Rivigo,3.9,(1.5k Reviews),Private,Gurgaon + 134 more,8 years old,1k-5k employees (India)
205,Muthoot Finance,3.6,(1.5k Reviews),"Kochi/Cochin,Kerala + 314 more",83 years old,10k-50k employees (India),
206,Hindalco Industrie...,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 57 more",64 years old,10k-50k employees (India)
207,Pidilite Industrie...,4.4,(1.5k Reviews),Public,"Mumbai,Maharashtra + 150 more",63 years old,5k-10k employees (India)
208,24/7 Customer,3.6,(1.4k Reviews),Private,San Jose + 16 more,22 years old,5k-10k employees (India)
209,Randstad,4.1,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 165 more",30 years old,1k-5k employees (India)
210,Deutsche Bank,4.2,(1.4k Reviews),Private,Frankfurt + 27 more,152 years old,10k-50k employees (India)
211,PepsiCo,4.2,(1.5k Reviews),Private,"Harrison,New York + 185 more",33 years old,1 Lakh+ employees (India)
212,Team Lease,4.0,(1.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 150 more",6 years old,1k-5k employees (India)
213,ACC,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 150 more",86 years old,5k-10k employees (India)
214,HCL Infosystems,3.8,(17.7k Reviews),Public,"Noida,Uttar Pradesh + 94 more",46 years old,10k-50k employees (India)
215,Swiggy,4.2,(1.4k Reviews),Private,Bangalore + 112 more,8 years old,1k-5k employees (India)
216,KPIT Technologies,3.4,(1.4k Reviews),Private,"Pune,Maharashtra + 19 more",32 years old,5k-10k employees (India)
217,Jindal Steel and P...,3.9,(1.7k Reviews),Private,"Delhi/NCR,New Delhi + 79 more",70 years old,10k-50k employees (Global)
218,Patanjali Ayurved,4.0,(1.4k Reviews),Private,"Haridwar,Uttarakhand + 195 more",16 years old,501-1k employees (India)
219,Fortis Healthcare,4.0,(1.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 50 more",26 years old,5k-10k employees (India)
220,Eureka Forbes,4.0,(1.4k Reviews),Private,"Mumbai,Maharashtra + 137 more",40 years old,201-500 employees (India)
221,Landmark Group,4.2,(4k Reviews),Private,"Dubai Marina,Dubai + 93 more",49 years old,1k-5k employees (India)
222,MRF Tyres,3.7,(1.4k Reviews),Public,"Chennai,Tamil Nadu + 148 more",76 years old,1k-5k employees (India)
223,Capita,3.8,(1.4k Reviews),Private,"Indore,Madhya Pradesh + 12 more",17 years old,1k-5k employees (India)
224,Vishal Mega Mart,3.9,(1.4k Reviews),Private,"Ahmedabad,Gujrat + 203 more",14 years old,5k-10k employees (India)
225,Apollo Tyres,4.2,(1.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 123 more",50 years old,5k-10k employees (India)
226,Virtusa Consulting...,3.6,(1.4k Reviews),Private,"Southborough,Massachusetts + 19 more",26 years old,5k-10k employees (India)
227,Dabur,4.1,(1.3k Reviews),Public,"Ghaziabad,Uttar Pradesh + 157 more",138 years old,5k-10k employees (India)
